participant_number,target_word,target_word_pos,position_time_pairs
0,amour,189,"[[-189, 3.03], [-11, 4.72], [-57, 9.88], [270, 10.37], [14, 11.83], [35, 12.23], [4, 18.45], [1, 20.88], [0, 22.52]]"
0,perdu,3187,"[[-3187, 1.22], [-3009, 1.62], [-3016, 2.95], [166, 4.95], [16, 7.82], [16, 7.82], [24, 11.08], [24, 11.08], [-1, 18.28], [0, 19.75]]"
0,encadrement,1592,"[[-983, 1.5], [-1208, 2.53], [180, 6.06], [170, 6.12], [-1, 10.22], [-21, 16.62], [-24, 17.77], [-15, 22.15], [-18, 24.87], [-18, 24.87], [-1, 69.97], [2, 71.07], [0, 73.13]]"
0,abandon,1,"[[-1, 1.07], [3, 2.23]]"
0,service,4135,"[[-4135, 1.07], [-3877, 1.08], [-3879, 1.22], [-1679, 1.8], [-1690, 1.95], [-1049, 4.35], [-1348, 5.93], [8, 10.92], [-78, 11.95], [29, 13.05], [18, 13.77], [40, 15.02], [-3, 17.5], [-7, 19.63], [-15, 22.63], [-17, 24.9], [-17, 24.9], [-5, 29.28], [0, 32.75]]"
