participant_number,target_word,target_word_pos,position_time_pairs
91,service,4135,"[[-4135, 2.24], [243, 7.05], [-46, 8.91], [-14, 11.39], [1, 15.26]]"
91,abandon,1,"[[789, 1.42], [3608, 2.63], [20, 3.76], [159, 5.33], [-1, 7.73], [-1, 8.16], [9, 11.67], [3, 13.91], [5, 16.0], [16, 20.35], [16, 20.35], [0, 24.93]]"
