participant_number,target_word,target_word_pos,position_time_pairs
66,encadrement,1592,"[[0, 2.99], [-5, 4.14], [0, 6.98]]"
66,perdu,3187,"[[-3187, 5.04], [378, 7.69], [378, 7.69], [2, 12.32], [2, 12.32], [6, 14.36], [6, 14.37], [-1, 16.73], [0, 18.2]]"
