participant_number,target_word,target_word_pos,position_time_pairs
3,gaspillages,2038,"[[-2038, 2.37], [3, 3.85], [-39, 4.43], [24, 5.03], [3, 6.59], [-4, 7.94], [1, 9.64], [0, 10.8]]"
3,damasquinerie,1213,"[[-589, 1.6], [-574, 1.75], [33, 4.53], [1, 5.97], [22, 7.39], [22, 7.39], [5, 9.22], [8, 9.78], [-1, 11.44], [1, 11.99], [0, 13.03]]"
3,dindon,1466,"[[-807, 0.7], [-803, 1.23], [20, 8.54], [20, 8.54], [-1, 14.01]]"
3,galonner,2026,"[[162, 1.58], [-68, 1.88], [130, 2.43], [47, 3.17], [57, 3.63], [-2, 7.16], [0, 8.47]]"
3,vulvaires,4883,"[[-4883, 2.05], [-1240, 3.05], [-1523, 3.63], [-999, 4.9], [-2004, 7.33], [-162, 13.25], [-443, 13.25], [-1565, 18.62], [-895, 26.17], [-947, 26.7], [-99, 35.61], [-99, 35.61], [-104, 36.42], [-38, 43.69], [-39, 44.48], [-30, 45.57], [-32, 46.06], [-29, 46.68], [-48, 48.8], [-8, 53.9], [-11, 54.42], [3, 55.95], [-1, 57.06]]"
3,dame,1214,"[[63, 3.0], [-21, 4.44], [1, 7.43], [-1, 8.0]]"
3,récurrence,3783,"[[111, 2.7], [-11, 10.72], [-8, 12.61], [-4, 13.86], [-5, 14.12], [1, 15.7]]"
3,raison,3691,"[[67, 2.28], [67, 2.28], [49, 5.28], [-205, 5.3], [-208, 5.78], [-205, 5.95], [36, 8.12], [25, 9.38], [0, 13.2], [1, 13.7]]"
3,vestiaires,4780,"[[-4780, 1.1], [-1221, 1.82], [-1221, 2.5], [25, 5.98], [-17, 8.2], [-17, 8.2], [1, 11.58]]"
3,guerre,2122,"[[495, 1.95], [338, 3.32], [380, 4.35], [-133, 5.37], [-49, 8.23], [-70, 9.02], [3, 11.65], [-55, 18.04], [-54, 19.19], [5, 25.27], [1, 25.95], [2, 26.28]]"
3,rouillures,4065,"[[-4065, 1.17], [-503, 2.37], [-533, 2.37], [-533, 3.58], [-516, 3.87], [-223, 4.52], [-265, 5.4], [38, 8.83], [7, 10.46], [-1, 12.59]]"
3,voiture,4854,"[[-4854, 1.07], [-1497, 3.22], [-1566, 3.22], [-1566, 4.22], [-1283, 4.22], [-1234, 4.82], [-1222, 4.88], [-102, 9.28], [-112, 9.78], [-81, 10.77], [-81, 11.13], [4, 18.67], [-2, 19.74]]"
