participant_number,target_word,target_word_pos,position_time_pairs
5,damasquinerie,1213,"[[-1213, 1.38], [-228, 2.96], [114, 4.92], [114, 4.92], [-130, 13.03], [-130, 13.03], [-118, 16.16], [202, 17.19], [202, 17.19], [187, 21.54], [309, 21.54], [294, 21.76], [-51, 24.97], [12, 27.96], [12, 27.96], [-2, 31.89], [1, 32.9]]"
5,guerre,2122,"[[-2122, 1.52], [87, 2.63], [-489, 3.62], [-288, 6.21], [-280, 6.25], [-39, 8.55], [-60, 11.37], [-60, 11.37], [-73, 12.54], [-70, 12.75], [-7, 16.76], [1, 18.89], [-1, 19.81], [0, 21.09]]"
5,voiture,4854,"[[-257, 8.28], [-443, 8.28], [-437, 8.54], [-91, 14.09], [-91, 14.09], [-94, 15.22], [-70, 20.64], [-317, 20.64], [-316, 20.64], [-245, 29.3], [-453, 29.3], [-447, 29.33], [-18, 30.67], [-18, 31.75], [-18, 31.75], [2, 35.99], [-2, 37.67], [2, 39.11], [0, 40.63]]"
5,rouillures,4065,"[[-841, 1.71], [-830, 1.84], [-537, 2.15], [-1260, 2.89], [-192, 5.72], [-213, 7.92], [-317, 8.4], [7, 11.65], [11, 13.0], [9, 13.7], [11, 14.38], [2, 16.54], [3, 17.8], [7, 19.19], [-1, 21.54], [0, 23.47]]"
5,dame,1214,"[[-1214, 1.26], [94, 3.5], [94, 3.5], [93, 5.06], [93, 6.21], [84, 6.21], [-21, 9.19], [-21, 9.19], [-13, 11.47], [94, 12.61], [-4, 15.98], [-4, 17.85], [1, 19.95], [0, 21.07]]"
5,récurrence,3783,"[[-602, 2.58], [-1110, 2.58], [-1114, 2.86], [48, 4.66], [-4, 6.71], [-6, 8.67], [-6, 8.67], [1, 11.33]]"
5,gaspillages,2038,"[[714, 1.82], [-87, 1.83], [-196, 2.84], [35, 4.34], [14, 5.85], [-49, 6.4], [14, 8.97], [14, 8.97], [-1, 13.16]]"
5,dindon,1466,"[[-178, 2.15], [-168, 2.3], [-95, 2.72], [-95, 4.02], [-84, 4.02], [-32, 4.65], [-32, 6.28], [-32, 6.28], [3, 16.98], [0, 18.75]]"
5,galonner,2026,"[[140, 2.1], [-377, 2.1], [-362, 2.3], [455, 3.43], [413, 4.42], [413, 4.76], [57, 7.86], [57, 8.5], [-16, 10.26], [5, 11.92], [19, 16.16], [19, 16.16], [-1, 22.0]]"
5,raison,3691,"[[98, 8.17], [36, 10.69], [36, 10.69], [37, 11.27], [30, 14.73], [30, 14.73], [31, 16.27], [31, 16.27], [4, 25.55], [1, 27.36], [-1, 28.41], [0, 29.42]]"
5,vulvaires,4883,"[[-4748, 0.91], [-4783, 6.19], [-4620, 6.19], [-4621, 6.36], [-4611, 6.37], [-141, 12.51], [-246, 13.25], [-297, 16.33], [-297, 17.9], [-258, 17.9], [-385, 20.28], [-371, 20.38], [6, 21.35], [-246, 23.16], [6, 24.35], [-99, 26.6], [-89, 26.6], [6, 29.91], [-82, 29.91], [-81, 29.92], [-1, 48.25], [-1, 48.25], [-3, 50.11], [-3, 50.11], [1, 51.62], [0, 52.72]]"
5,vestiaires,4780,"[[-672, 2.74], [41, 9.95], [-67, 9.95], [-66, 9.95], [-23, 18.31], [-23, 18.31], [-39, 21.42], [6, 31.33], [0, 34.26]]"
