participant_number,target_word,target_word_pos,position_time_pairs
98,encadrement,1592,"[[-1592, 1.7], [550, 3.09], [106, 5.86], [17, 7.3], [0, 12.54]]"
98,abandon,1,"[[-1, 2.63], [3, 4.39], [0, 6.69]]"
98,perdu,3187,"[[150, 2.96], [150, 2.96], [-116, 3.75], [-27, 5.17], [91, 6.19], [91, 6.19], [-2, 28.03], [1, 29.57]]"
98,service,4135,"[[-4135, 3.64], [-788, 4.4], [-1153, 5.55], [264, 9.31], [280, 10.73], [284, 12.08], [280, 13.44], [281, 14.11], [-77, 21.15], [-77, 21.15], [-55, 25.99], [-116, 27.65], [-412, 29.51], [-47, 30.72], [-136, 31.41], [-37, 31.91], [-37, 33.08], [-37, 33.08], [-5, 41.16], [0, 50.2]]"
98,amour,189,"[[-189, 5.1], [66, 6.67], [66, 6.67], [-111, 10.18], [-111, 10.18], [1, 36.59], [0, 37.64]]"
