participant_number,target_word,target_word_pos,position_time_pairs
2,dindon,1466,"[[-1466, 1.4], [0, 4.38], [-32, 5.15], [0, 5.85], [-11, 7.63], [-11, 7.63], [2, 13.83], [0, 16.15]]"
2,rouillures,4065,"[[-4065, 2.08], [-223, 8.43], [-276, 8.9], [101, 12.64], [59, 14.73], [-223, 15.6], [-14, 22.62], [1, 27.0], [1, 27.0], [0, 28.25]]"
2,récurrence,3783,"[[142, 3.75], [69, 4.4], [69, 5.15], [59, 7.54], [-6, 22.42], [-6, 22.42], [0, 25.67]]"
2,vestiaires,4780,"[[-4684, 0.77], [-4576, 2.83], [-17, 10.74], [3, 15.47], [0, 17.8]]"
2,raison,3691,"[[77, 4.63], [15, 7.38], [0, 13.12]]"
2,voiture,4854,"[[-4854, 1.02], [-4660, 1.02], [-4493, 3.5], [-81, 10.9], [-25, 20.42], [-287, 20.42], [-286, 20.42], [-404, 25.22], [-395, 25.35], [-7, 30.3], [0, 32.65]]"
2,guerre,2122,"[[-1958, 0.58], [-1761, 2.08], [34, 5.88], [-102, 7.3], [-7, 11.18], [3, 11.87], [3, 12.45], [840, 12.83], [-70, 14.82], [3, 16.47], [3, 17.93], [3, 20.57], [8, 22.63], [8, 22.63], [0, 25.0]]"
2,gaspillages,2038,"[[673, 6.47], [-206, 7.5], [-206, 7.7], [-342, 8.38], [24, 11.32], [14, 11.32], [-7, 13.94], [-7, 13.94], [1, 17.54], [1, 17.54]]"
2,galonner,2026,"[[-2026, 1.12], [36, 4.65], [-6, 5.35], [5, 6.27], [5, 6.83], [15, 8.03], [5, 8.03], [-6, 10.05], [15, 10.05], [120, 11.48], [130, 11.6], [-100, 12.28], [-79, 12.83], [-299, 13.48], [57, 14.28], [-6, 17.18], [-6, 17.18], [0, 20.58]]"
2,vulvaires,4883,"[[-89, 5.0], [-78, 5.43], [-26, 8.25], [-560, 8.56], [-5, 15.19], [-4, 17.24], [-3, 18.57], [0, 21.02]]"
2,damasquinerie,1213,"[[-1213, 1.03], [985, 3.98], [-93, 4.78], [22, 6.05], [54, 6.28], [-30, 7.0], [12, 8.58], [12, 10.64], [-1, 15.72]]"
2,dame,1214,"[[94, 2.77], [-94, 3.37], [0, 6.42], [11, 7.12], [11, 8.92], [11, 8.92], [-2, 12.17], [0, 13.7]]"
