participant_number,target_word,target_word_pos,position_time_pairs
4,gaspillages,2038,"[[-2038, 1.3], [139, 3.77], [-1096, 5.28], [-1012, 6.7], [-1117, 9.1], [-1106, 9.1], [924, 13.87], [77, 15.72], [537, 17.42], [181, 18.65], [171, 18.9], [66, 20.08], [77, 21.25], [-7, 27.0], [-7, 27.0], [1, 29.59], [0, 30.8]]"
4,rouillures,4065,"[[-4065, 3.02], [-3940, 3.02], [-3831, 5.1], [-181, 9.57], [-162, 12.69], [-162, 12.69], [-164, 13.35], [-133, 19.83], [-119, 20.25], [28, 22.78], [-14, 24.42], [-14, 24.42], [-1, 28.39], [0, 30.23]]"
4,guerre,2122,"[[-2122, 1.47], [-1938, 1.47], [-1752, 3.55], [3, 6.5], [-49, 7.13], [-39, 7.95], [-39, 8.52], [-28, 10.38], [7, 15.02], [7, 15.02], [0, 17.43], [1, 18.69], [1, 18.69], [-1, 19.6], [0, 21.12]]"
4,dame,1214,"[[-1214, 1.6], [-1089, 1.6], [-961, 3.65], [178, 7.77], [168, 7.77], [11, 11.82], [21, 13.58], [21, 13.58], [20, 14.6], [-1, 18.89], [0, 20.12]]"
4,galonner,2026,"[[-1862, 0.98], [-1714, 2.98], [204, 4.57], [89, 6.37], [-16, 9.22], [26, 10.02], [5, 11.73], [5, 11.73], [6, 12.56], [-3, 14.46], [0, 16.57]]"
4,vestiaires,4780,"[[-4780, 1.33], [-4616, 1.33], [-4615, 1.62], [-4616, 1.62], [-4429, 2.52], [-1137, 8.32], [-1199, 8.32], [-1189, 8.6], [-90, 11.58], [-195, 12.4], [35, 14.48], [25, 14.48], [25, 15.1], [46, 16.18], [-28, 18.27], [-36, 20.92], [4, 32.16], [4, 32.16], [0, 35.23]]"
4,voiture,4854,"[[-4854, 1.05], [-4699, 1.05], [-4493, 1.95], [-834, 4.23], [-897, 4.52], [-719, 5.82], [-795, 5.82], [-782, 6.08], [-70, 7.78], [-154, 9.58], [-91, 11.53], [-81, 12.12], [-81, 12.57], [-39, 13.93], [-39, 14.77], [-7, 16.56], [1, 19.03], [0, 20.18]]"
4,raison,3691,"[[-3691, 1.02], [-1472, 2.38], [-1556, 3.07], [130, 6.5], [46, 6.5], [-6, 9.81], [-6, 9.81], [1, 12.61], [0, 13.7]]"
4,damasquinerie,1213,"[[-1213, 1.63], [-1019, 1.63], [-930, 4.23], [253, 5.32], [190, 5.73], [221, 6.15], [-9, 9.63], [54, 10.75], [4, 17.11], [-1, 18.79], [0, 20.28]]"
4,récurrence,3783,"[[-3638, 0.9], [-3644, 3.02], [-3442, 3.02], [1095, 4.07], [603, 6.57], [624, 7.25], [153, 13.62], [-35, 15.7], [-5, 19.61], [0, 22.25]]"
4,vulvaires,4883,"[[-4883, 1.05], [-5, 2.05], [-162, 2.83], [6, 15.28], [-2, 16.97], [-1, 17.59], [-4, 18.89], [0, 21.3]]"
4,dindon,1466,"[[167, 4.58], [52, 7.57], [52, 8.16], [-3, 16.62], [0, 18.53]]"
