participant_number,target_word,target_word_pos,position_time_pairs
99,amour,189,"[[-189, 1.86], [-3, 2.4], [-5, 3.96], [-5, 3.96], [2, 6.05], [0, 7.88]]"
99,encadrement,1592,"[[-1592, 1.16], [1054, 1.89], [-599, 3.61], [274, 4.47], [146, 7.29], [-22, 10.17], [-22, 10.17], [2, 15.31], [1, 16.95], [1, 16.95], [3, 18.27], [0, 20.73]]"
99,abandon,1,"[[-1, 4.15], [353, 5.8], [353, 5.8], [294, 7.28], [96, 14.18], [96, 14.18], [156, 14.6], [117, 22.67], [109, 24.58], [353, 24.93], [86, 25.97], [86, 25.97], [581, 25.97], [-1, 27.31], [-1, 27.31], [2, 28.42], [0, 30.55]]"
99,service,4135,"[[-4135, 1.19], [-916, 2.04], [-921, 2.07], [-640, 2.43], [-644, 2.45], [-27, 4.77], [-25, 6.49], [1, 13.03], [0, 14.33]]"
99,perdu,3187,"[[-3187, 1.21], [249, 3.5], [249, 3.5], [-8, 5.6], [-8, 5.6], [0, 8.71]]"
