participant_number,target_word,target_word_pos,position_time_pairs
6,damasquinerie,1213,[]
6,guerre,2122,[]
6,dindon,1466,"[[-1466, 1.17], [-503, 1.71], [-545, 2.09], [-147, 4.79], [0, 8.98]]"
6,vulvaires,4883,"[[-99, 15.93], [-110, 18.21], [-110, 18.21], [-63, 28.45], [-277, 28.45], [-276, 28.45], [-297, 31.13], [-296, 31.13], [-385, 32.74], [-371, 33.04], [-57, 36.13], [6, 37.75], [-183, 41.86], [-47, 47.41], [-36, 48.84], [-19, 52.75], [-19, 52.75], [-22, 53.7], [-1, 59.05], [-1, 59.05], [-2, 60.19], [-2, 60.19], [0, 61.82]]"
6,raison,3691,"[[0, 1.09]]"
6,gaspillages,2038,"[[0, 1.1]]"
6,galonner,2026,"[[-2026, 1.37], [68, 4.71], [-16, 6.71], [-6, 9.27], [2, 11.33], [0, 13.42]]"
6,rouillures,4065,[]
6,récurrence,3783,"[[-15, 7.24], [-35, 8.89], [-56, 10.03], [-46, 10.03], [-35, 11.96], [-35, 11.96], [-37, 13.21], [-38, 13.8], [-30, 16.5], [-29, 17.09], [-32, 19.11], [-21, 23.86], [-14, 29.54], [-4, 34.09], [-5, 35.93], [-5, 35.94], [0, 39.47]]"
6,voiture,4854,[]
6,vestiaires,4780,"[[-2959, 0.67], [-2948, 0.68], [-635, 6.08], [-635, 7.37], [-467, 7.37], [-545, 8.25], [-530, 8.37], [-330, 11.18], [-321, 11.44], [-48, 16.51], [-38, 17.66], [-29, 21.43], [-7, 27.71], [3, 30.56], [1, 31.65], [7, 33.46], [-1, 36.1], [-1, 36.1], [0, 37.49]]"
6,dame,1214,"[[74, 1.05], [0, 3.77]]"
