participant_number,target_word,target_word_pos,position_time_pairs,file-name,upload-time-stamp,primary_key
101,damasquinerie,1213,"[[-1213, 2.16], [142, 3.33], [-61, 3.33], [-61, 5.65], [94, 5.65], [94, 7.19], [26, 7.19], [26, 8.98], [-23, 10.8], [-23, 10.8], [0, 16.99]]",p101-210334.csv,"2025-11-17 20:09:01.799289",59
101,galonner,2026,"[[-2026, 3.53], [-313, 6.78], [-109, 8.37], [65, 11.82], [-13, 11.82], [-13, 13.75], [84, 13.75], [84, 15.02], [-13, 15.02], [-13, 16.15], [-13, 16.15], [0, 20.57]]",p101-210334.csv,"2025-11-17 20:09:01.799289",60
101,voiture,4854,"[[-4854, 4.01], [-351, 5.31], [-167, 7.3], [-119, 8.51], [-120, 8.51], [-119, 8.51], [-119, 10.1], [-90, 11.28], [-91, 11.28], [-90, 11.28], [-90, 12.36], [-61, 14.27], [-33, 15.22], [-32, 15.22], [-32, 16.58], [0, 26.12]]",p101-210334.csv,"2025-11-17 20:09:01.799289",61
101,guerre,2122,"[[-2122, 1.04], [-341, 3.42], [-109, 4.64], [-12, 6.59], [0, 11.03]]",p101-210334.csv,"2025-11-17 20:09:01.799289",62
101,vulvaires,4883,"[[-4883, 2.54], [-138, 4.0], [-139, 4.0], [-138, 4.0], [-138, 5.16], [-109, 6.93], [-61, 9.87], [-51, 13.46], [-43, 14.32], [-42, 14.32], [-1, 24.77], [0, 26.51]]",p101-210334.csv,"2025-11-17 20:09:01.799289",63
101,rouillures,4065,"[[-4065, 1.43], [88, 3.15], [-183, 3.15], [-183, 5.39], [-193, 6.73], [-154, 6.73], [-154, 7.95], [-115, 8.95], [-18, 10.73], [11, 12.8], [11, 12.8], [-1, 16.51], [0, 17.63]]",p101-210334.csv,"2025-11-17 20:09:01.799289",64
101,récurrence,3783,"[[-3783, 1.32], [351, 2.56], [21, 2.56], [21, 5.19], [-240, 6.71], [-182, 6.71], [-182, 7.9], [-104, 9.18], [-37, 10.78], [1, 20.73], [0, 21.97]]",p101-210334.csv,"2025-11-17 20:09:01.799289",65
101,dame,1214,"[[-246, 2.25], [83, 4.2], [15, 4.2], [15, 5.88], [-53, 7.02], [-53, 7.02], [1, 16.61], [0, 17.77]]",p101-210334.csv,"2025-11-17 20:09:01.799289",66
101,raison,3691,"[[-3691, 1.06], [375, 3.03], [375, 4.04], [152, 5.51], [26, 7.87], [-51, 9.04], [26, 9.05], [26, 10.24], [26, 10.24], [0, 15.9]]",p101-210334.csv,"2025-11-17 20:09:01.799289",67
101,gaspillages,2038,"[[-344, 2.05], [-112, 3.18], [256, 8.16], [-83, 8.16], [-83, 9.51], [24, 9.51], [24, 12.89], [24, 12.9], [-1, 18.01], [0, 19.11]]",p101-210334.csv,"2025-11-17 20:09:01.799289",68
102,damasquinerie,1213,"[[-1199, 5.31], [-982, 5.31], [-982, 6.62], [-691, 6.62], [-700, 6.96], [-1213, 12.81]]",p102-211039.csv,"2025-11-17 20:16:12.234246",69
102,damasquinerie,1213,"[[-1199, 5.31], [-982, 5.31], [-982, 6.62], [-691, 6.62], [-700, 6.96], [-1213, 12.81], [-1213, 15.7], [-962, 15.7], [-963, 15.7], [-865, 23.07], [-866, 23.07], [-768, 24.56], [-769, 24.56], [-623, 29.62], [-637, 30.18], [-951, 30.65], [-595, 31.54], [-752, 32.43], [158, 36.72], [-30, 38.19], [12, 39.84], [-9, 42.72], [-9, 42.72], [1, 45.98], [1, 45.98], [0, 48.46]]",p102-211039.csv,"2025-11-17 20:16:12.234246",70
102,guerre,2122,"[[-1973, 4.04], [-1775, 4.04], [-1571, 5.13], [-950, 5.69], [-2017, 7.39], [-1337, 8.42], [-1442, 8.87], [139, 10.03], [-28, 13.71], [-102, 15.27], [-102, 15.27], [1, 31.71], [1, 31.71], [0, 33.81]]",p102-211039.csv,"2025-11-17 20:16:12.234246",71
102,rouillures,4065,"[[-4065, 1.59], [-3979, 1.59], [-3794, 3.2], [-3795, 3.2], [-3799, 5.1], [-3610, 5.11], [-286, 12.36], [28, 15.75], [-14, 18.06], [-14, 18.06], [0, 22.46]]",p102-211039.csv,"2025-11-17 20:16:12.234246",72
102,raison,3691,"[[-3691, 1.56], [-3431, 1.56], [-3265, 3.05], [-3266, 3.05], [-3082, 4.42], [67, 9.17], [57, 9.17], [-17, 9.73], [46, 10.57], [-6, 11.89], [-6, 11.89], [0, 15.64]]",p102-211039.csv,"2025-11-17 20:16:12.234246",73
102,dame,1214,"[[-1214, 1.62], [-1022, 1.62], [-866, 2.42], [-867, 2.42], [-769, 3.59], [-770, 3.59], [-770, 5.37], [-663, 5.37], [-104, 7.0], [-1204, 8.56], [377, 10.12], [-10, 16.01], [-10, 16.01], [-5, 17.94], [-4, 19.64], [-4, 19.64], [-7, 20.92], [-1, 23.12], [0, 24.52]]",p102-211039.csv,"2025-11-17 20:16:12.234246",74
