
abaisser
abandon
abandonner
abattre
abbé
abolir
abonné
abord
aborder
aboutir
aboutissement
abri
abriter
absence
absent
absolu
absolument
absorber
abstenir
absurde
abus
abuser
accéder
accélération
accélérer
accent
accentuer
acceptable
acceptation
accepter
accès
accessible
accessoire
accident
accompagner
accompli
accomplir
accord
accorder
accrocher
accroissement
accroître
accueil
accueillir
accumulation
accumuler
accusation
accusé
accuser
achat
acheminement
acheminer
acheter
acheteur
achever
acide
acier
acquérir
acquis
acquisition
acquitter
acte
acteur
actif
action
actionnaire
activement
activer
activité
actualité
actuel
actuellement
adaptation
adapter
additionnel
adéquat
adhérer
adhésion
adieu
adjoint
admettre
administrateur
administratif
administration
administrer
admiration
admirer
adolescent
adopter
adoption
adorer
adresse
adresser
adulte
advenir
adversaire
aérien
aéroport
affaiblir
affaiblissement
affaire
affectation
affecter
affection
affiche
afficher
affirmation
affirmer
affreux
affrontement
affronter
afin
africain
agence
agenda
agent
aggraver
agir
agitation
agiter
agrandir
agréable
agréer
agressif
agression
agricole
agriculteur
agriculture
ah
aide
aider
aile
ailleurs
aimable
aimer
aîné
ainsi
air
aire
aise
aisé
ajourner
ajouter
ajustement
ajuster
alarme
albanais
album
alcool
alentour
alerte
alerter
algérien
aligner
aliment
alimentaire
alimentation
alimenter
allégement
alléger
allemand
aller
alliance
allié
allier
allocation
allonger
allouer
allumer
allure
allusion
alors
alourdir
alternatif
alternative
altitude
amant
amateur
ambassade
ambassadeur
ambiance
ambiguïté
ambitieux
ambition
amélioration
améliorer
aménagement
aménager
amende
amendement
amener
amer
américain
ami
amical
amitié
amorcer
amour
amoureux
ampleur
amplifier
amusant
amuser
an
analogue
analyse
analyser
analyste
ancêtre
ancien
ancrer
anéantir
ange
anglais
angle
anglo-saxon
angoisse
animal
animateur
animer
année
annexe
anniversaire
annonce
annoncer
annuel
annulation
annuler
anonyme
anormal
antenne
antérieur
anticiper
antique
août
apaiser
apercevoir
apparaître
appareil
apparemment
apparence
apparent
apparition
appartement
appartenance
appartenir
appel
appeler
applaudir
applicable
application
appliqué
appliquer
apport
apporter
appréciation
apprécier
appréhender
apprendre
apprentissage
apprêter
approbation
approche
approcher
approfondir
approprié
approprier
approuver
approvisionnement
appui
appuyer
après
après-midi
apte
aptitude
arabe
arbitrage
arbitraire
arbitre
arbre
architecte
architecture
archives
argent
argument
arme
armé
armée
armement
armer
arracher
arrangement
arranger
arrestation
arrêt
arrêté
arrêter
arrière
arrivant
arrivé
arrivée
arriver
art
article
articuler
artificiel
artisan
artiste
artistique
asiatique
asile
aspect
aspiration
aspirer
assassin
assassinat
assassiner
assaut
assemblée
asseoir
assez
assiette
assigner
assimiler
assise
assistance
assistant
assister
association
associer
assortir
assumer
assurance
assurément
assurer
atelier
athlète
atlantique
atmosphère
atomique
atout
atroce
attachement
attacher
attaque
attaquer
atteindre
atteinte
attendre
attentat
attente
attentif
attention
attentivement
atténuer
attester
attirer
attitude
attraper
attribuer
attribution
au-delà
au-dessous
au-dessus
aube
aucun
aucunement
audacieux
audience
audiovisuel
auditeur
audition
augmentation
augmenter
aujourd'hui
auparavant
auprès
aussi
aussitôt
autant
auteur
authentique
auto
autobus
autochtone
automatique
automatiquement
automne
automobile
autonome
autonomie
autorisation
autoriser
autoritaire
autorité
autoroute
autour
autre
autrefois
autrement
autrui
aval
avalanche
avaler
avance
avancée
avancer
avant
avantage
avantageux
avec
avenir
aventure
avenue
avertir
avertissement
aveu
aveugle
aviation
avion
avis
aviser
avocat
avoir
avouer
avril
axe
axer
bagage
baie
baigner
bain
baiser
baisse
baisser
balance
balancer
balayer
balle
ballon
banal
banc
bancaire
bande
banlieue
bannir
banque
banquier
baptiser
bar
barbare
barrage
barre
barreau
barrer
barrière
bas
basculer
base
baser
basque
bassin
bataille
bateau
bâtiment
bâtir
bâton
batterie
battre
beau
beaucoup
beauté
bébé
belge
bénéfice
bénéficiaire
bénéficier
bénéfique
bénévole
besoin
bétail
bête
béton
beurre
biais
bibliothèque
bien
bien
bien-être
bientôt
bienvenu
bière
biget
bijou
bilan
bilatéral
billet
biodegradable
biologique
bizarre
blague
blâmer
blanc
blé
blessé
blesser
blessure
bleu
blindé
bloc
blocage
blond
bloquer
boire
bois
boisson
boîte
bombardement
bombarder
bombe
bon
bond
bonheur
bonjour
bonsoir
bord
bordel
borne
borner
bosniaque
bosser
bouche
boucher
boucle
boucler
boue
bouger
boule
boulevard
bouleversement
bouleverser
boulot
bourdon
bourdonner
bourdonnera
bourdonnés
bourgeois
bourse
boursicotage
boursicotant
boursicote
boursicoter
boursicoteurs
boursicotiez
boursicotons
boursier
boursouflée
boursouflent
boursoufler
boursouflera
boursouflés
boursouflons
bousculer
bout
bouteille
boutique
bouton
branche
brancher
brandir
bras
bravo
brèche
bref
bridant
brièvement
brigade
brillant
briller
briser
britannique
brouillard
brouiller
